number,rating,confidence,summary,strengths_and_weaknesses,questions,limitations,soundness,presentation,contribution,code_of_conduct
5769,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.",3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked.,"This paper studies the proportionally fair optimization problem (i.e., $\max f(x) = \sum_i \log x_i$) under packing constraints ($A x \leq 1$ for a matrix A of nonnegative entries). The main contribution is a distributed accelerated algorithm for fair packing. The algorithm is width independent and produces (additively) approximate solutions for both primal and dual.

Width is defined as max ratio of positive entries in the matrix A. First order width-dependent methods don't readily lead to polynomial-time algorithms because smoothness constants do not scale logarithmically with width. In addition, approximate solutions of primal and dual are not easily translatable. In light of this, designing width-independent approximation algorithms for both primal and dual sounds challenging.

This is done by extending a general technique for packing LPs and exploiting problem structure to design a distributed algorithm. Distributed width-independent algorithms for general packing LPs are not yet known. Unlike prior work, the new algorithm is determinstic, has additive (not multiplicative) error, and uses a different regularization. The new algorithm uses $O(n/\epsilon)$ iterations, a factor n smaller than the best prior method.","Strengths:
- Primal and dual algorithms are both width independent. (Translating approximate solutions between primal & dual is not easy.)

Weaknesses:
- No discussion of concrete applications, hence no experimental study to show practical benefits, runtime and error bounds.",none,n/a,3 good,3 good,3 good,Yes
5769,"7: Accept: Technically solid paper, with high impact on at least one sub-area, or moderate-to-high impact on more than one areas, with good-to-excellent evaluation, resources, reproducibility, and no unaddressed ethical considerations.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.","**The problem and its importance** 

The paper presents an *accelerated, width-independent algorithm* for the $\alpha$-fair-packing problem with $\alpha = 1$, in the distributed model of computation. The problem is motivated by that of fair allocation of (non-negative) resources and falls under the broad umbrella of $\alpha$-fair-packing problems, which are an important problem class encompassing, for example, the standard packing LP, which has seen a long line of work (for example, by Luby-Nisan, Fleischer, Plotkin-Shmoys-Tardos, Awerbuch-Khandekar, Young, Koufogiannakis-Young, Allen-Zhu-Orecchia, Wang, Mahoney-Rao-Wang-Zhang, etc.) in both theoretical computer science (most significantly in the context of multicommodity flow problems) and machine learning that have led to developments of techniques that are now widely used in optimization in general. Therefore, this paper definitely studies a very important problem. 

The paper further studies the dual of this algorithm and applies it to obtain an improved analysis of the classical Yamnitsky-Levin algorithm. 

**The technical outline** 

The paper solves the primal problem by building upon the work of Diakonikolas-Fazel-Orecchia and AllenZhu-Orecchia. Specifically, the problem reformulation and parts of analysis (the gradient descent progress) is drawn from DFO, whereas the framework of ``truncated gradients in mirror descent coupled with gradient descent'' comes from AZO. We explain these a bit more next. 

The notion of ``fairness'' is captured in the objective via maximizing the *product* of allocated resources (and taking the log to formulate it as a convex minimization problem), which results in the problem $\max_{x\geq 0, Ax \leq 1} \, \sum_{i = 1}^n \log x_i$. The final reformulated problem involves the following modifications to this problem: (1) reparametrizing the problem variable to make the (initial) objective linear; (2) moving the packing constraints into the objective via an exponential penalty; (3) adding a box constraint based on properties of the optimal point. We note that these modifications were first done in DFO. 

For this reformulated problem, the gradients lie (coordinatewise) in $[-1, \infty)$. The algorithm proceeds as follows. It takes a mirror descent step using the squared-loss mirror map and on the linear term defined by the *truncated* gradient. The truncation is essential for obtaining a regret that is independent of the width of the problem, and this idea stems from AZO. Next, the algorithm takes a ``gradient descent step'' with the amount of update scaled proportional to the amount of movement via the mirror descent step. Following the gradient descent analysis of DFO, the paper shows a minimum bound on the progress via this step. Finally, the iterates obtained via the mirror descent and gradient descent steps are coupled in a convex combination (and their analysis performed analogous to that in AZO). This gives a primal algorithm with $\epsilon$-additive optimal point in $O(n/\epsilon)$ iterations. 

**Contributions** 

1. The paper's main result is an $O(n/\epsilon)$ iteration algorithm for the stated primal problem. The previous best result by DFO was $O(n^2/\epsilon^2)$, making this paper's contribution in terms of results very clearcut. Further, in achieving this iteration count, the paper becomes the first to achieve both width-independence and acceleration for the $1$-fair-packing problem, which is quite a significant and a highly non-trivial contribution in this line of work. 

2. While the paper definitely builds upon the work of DFO and AZO (as described above), the way it combines them is novel (which is what gives it its new, improved result). 




","**Strengths** 

1. Achieving both width-independence and acceleration for $1$-fair-packing is quite a significant result. In my opinion, just the first component of the paper (the primal result) is a strong result in itself. 

2. The paper's primal algorithm is very clean, with very clearcut operations (mirror descent, gradient descent, and coupling) along with their corresponding analyses. The *reasons* for various steps in the algorithm (example, gradient truncation) and why the analysis works (example, the progress by gradient descent compensating the regret bound via the truncated gradient) is also all explained very transparently. 

3. The previous best result on this problem (DFO) achieves their result by a different technique (approximate dual gap technique), so it is quite nice that this follow-up work follows a different technique.  

**Weaknesses** 

1. Given that the paper greatly builds upon the work of DFO (for the primal algorithm), I think one way to make this paper even more transparent would be to (if possible) try and frame DFO's algorithm in this paper's language. More concretely, can you write DFO's algorithm in the ``coupling'' framework of this paper (which in turn draws this from AZO) and show exactly what steps of DFO (in this framework) were changed to achieve this paper's result? 

2. I think the main body (the primal section) could do a slightly better job of giving more complete justifications/attributions. As examples, 

    * it's not immediate from the algorithm in the main body that the iterates all lie in the box (though this is justified in the appendix); perhaps a pointer to this lemma would be good. 

    * Further, I think it's important to clearly state in the main body what parts of the problem formulation and analysis are derived from DFO and AZO (for example, Lemma 2.3 is basically that of DFO). Having these attributions clearly stated will more clearly shine a light on the paper's novelty, without taking away the contributions of DFO and AZO. 

3. I found the dual algorithm/analysis way more dense than the primal part. Is it possible to simplify this section's exposition? 

**My overall verdict** 

I think this is a worthy problem, with a simple, clean algorithm for the primal case, a creative one for the dual case, and an interesting application to a classical algorithm (Yamnitsky-Levin) that I had been unaware of. 

In addition to its primary contributions (the primal and dual algorithms and analysis), the final contribution adds value to the optimization/ML literature by bringing to fore a (possibly) less-known classical algorithm. This would therefore be a nice contribution to NeurIPS '22. ","0. Please see the **Weaknesses** section above for other questions. 

1. My first obvious question is, why doesn't this algorithm extend to the case $\alpha \neq 1$? Or, if it does, then what is the iteration complexity? It would make the paper more complete to explain this as well. ","I very much appreciate the authors being upfront about the paper not generalizing to the $\alpha \neq 1$ case. Given that this is a theoretical paper, I do not foresee any negative societal impact of the paper and have no suggestions to this end. ",3 good,3 good,4 excellent,Yes
5769,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.","2: You are willing to defend your assessment, but it is quite likely that you did not understand the central parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked.","The paper solves the so-called 1-fair packing problem via first-order methods. The main results are computational complexity of O(n/epsilon) for the primal problem and O(n^2/epsilon) for the dual problem. These results are not width dependent (where the width is the ratio of largest to smallest elements in matrix A), which is a plus.",The strength is that the paper studies a fairly important problem in resource allocation. I like the results overall. The weakness is that the method developed follows closely to Allen-Zhu and Orecchia (Math. Prog. 2019). It seems that it simply customized their approach to this specific setting. The computational complexity results are good but at the expense of solving more difficult oracles.,I am not too familar with the literature on this problem; perhaps a in-depth discussion about pros and cons of the developed algorithms compared to the state-of-the-art would be helpful to readers.,The authors did not address the limitations and potential negative societal impact of their work but it is okay given the nature of this work.,3 good,3 good,2 fair,Yes
5769,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.",This paper studies proportional fair resource allocation problem and develops first-order methods,"Strengths: The analysis is solid and the problem is interesting.

Weakness: The developed first-order method is limited to the problem itself.","Can the algorithms be generalized to other optimization/learning problems?

Theorem 2.5 depends on big constants, which can be exponential in n?",The developed first-order method is limited to the problem itself.,3 good,3 good,2 fair,Yes
10162,"7: Accept: Technically solid paper, with high impact on at least one sub-area, or moderate-to-high impact on more than one areas, with good-to-excellent evaluation, resources, reproducibility, and no unaddressed ethical considerations.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.","This work theoretically studies the heterogeneous cross-silo federated optimization problem. Previously,  Mishchenko et al. [2022] had shown that SCAFFOLD with randomized number of local steps (which they call Prox-Skip / ScaffNew) enjoyed an accelerated communication complexity, proving improvement due to local steps. 

This paper extends their framework to employ variance reduction and compressed communication at the client level, while maintaining the accelerated communication complexity. They also propose an hierarchical federated model where clients are attached to always-available hubs for which their algorithms are particularly well suited.","# Strengths

1. The approach is well motivated and forms a natural line of inquiry - combining communication compression + variance reduction with ProxSkip. 
2. The results obtained by the authors, though not surprising in the light of ProxSkip, are significant and technically involved. It is a result of synthesizing several state of the art analysis techniques, and recover most of them as state of the art.
3. I also enjoyed the motivation of the local variance reduction via the hub model and can see it being useful.

# Weaknesses

Most of the weaknesses stem from poor writing (see questions section for detailed feedback) - i) section 4 is very terse and not elaborated well , and ii) the limitations of the method and comparison with prior work is not well carried out.
The most impactful aspect of this paper might be the new hierarchical FL model proposed. But unfortunately, there is almost no discussion on its unique aspects, optimality etc.","# Suggestions for improvement

1. Section 4 is way too terse and hard to comprehend. The setting of the hub model and the algorithm description should be separated (perhaps with pseudo-code). I had to work hard to reconstruct what was being conveyed. E.g. of confusions: why is the global gradient a concatenation of estimators in eq (12)? control vector y_t is used before it is defined (in fact it is never properly defined or initialized) etc.
2. It is also unclear how Theorem 9 relates to Theorem 5?  Why can we not use VR and CC directly in Section 3 with Thm. 5? Thms 6 and 8 are definitely direct corollaries of Thm 5 and it would be clearer if stated as such.
3. More time should be spent explaining the results in Corollaries 1 and 2 - what is $\omega$ and how should we think about it? why does it scale as $\omega / M$ and is the optimal scaling? The latter relies on the independence of the compression randomness, which is not stated. Overall, I think the paper would greatly benefit from moving some of the exposition in Section 2 to the Appendix and instead expanding on the results in Sections 3 and 4, with greater discussion about the implications of the theoretical rates.
3. The result for the setting with C > 0 is not optimal since there is no speed-up wrt to number of clients. The optimal rate likely scales as C/M (as SCAFFOLD obtains).
4. Also, while client and data sampling are discussed in detail in Sec 1.2, their effect on ProxSkip-VR is never discussed.
5. It should be made clear that all the discussion in the paper is for cross-silo FL and does not apply to cross-device FL.
6. Nitpick (feel free to ignore): the colors used in the text (e.g. in math symbols like W and E in Thm 5, and algorithm names) made it visually busy, confusing and harder to read for me. I would suggest using such colors sparsely in text - more as a shorthand (e.g. red is always error terms) rather than for emphasis or drawing attention. ","The limitations of the method are not adequately discussed. The questions section above goes into detail.

Note: I am willing to raise my score on an assurance from the authors that the writing and presentation will be improved. The results are otherwise technically sound and interesting.",4 excellent,2 fair,3 good,Yes
10162,"7: Accept: Technically solid paper, with high impact on at least one sub-area, or moderate-to-high impact on more than one areas, with good-to-excellent evaluation, resources, reproducibility, and no unaddressed ethical considerations.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.","The paper proposes a new variance reduced variant to ProxSkip, called ProxSkip-VR, for federated learning. It possesses a combination of preferable techniques in federated learning including data sampling, client sampling and local training. The variance reduced estimator is general and covers numerous existing estimators. Linear convergence is proved for the strongly convex objective. More importantly, the paper take a closer look on the cost of training FL methods by incorporating local training cost and communication cost whereas most existing FL methods only consider communication cost in convergence results. Numerical experiments on regularized logistic regression is presented to illustrate the performance of ProxSkip-VR compared to existing methods.","Strengths:
- The paper is well-written. I can see the history of FL methods evolving over different generations.
- ProxSkip-VR possesses several important properties for an FL method: client sampling, data sampling, and variance reduced local update step.
- The paper proposes a new architecture for FL which contains hubs between server and workers. This architecture is reasonable and it represents many real-world applications.
- Convergence results are provided which cover different type of gradient estimators.
- The evaluation considers the total cost which consists of communication cost and local training cost which has not been considered in existing works. This also help show the advantage of using variance reduced estimator in local training.

Cocerns:
- Table 1 summarizes results of ProxSkip-VR w.r.t. existing works. It shows that communication complexity of ProxSkip-VR is better than GD but it does not explicitly discuss how it is better and the reader needs to go back and check the other paper to learn about this comparison.
- I do not see how the control vector $y_t$ is chosen in the proof of ProxSkip-VR (Theorem 5). I wonder if $y_t$ is chosen the same as in (11).

Minor comments:
- The experiments has a non-zero value for the penalty parameter $\lambda$ for $\{x\}^2$ regularizer but the code appears to set it to 0. I am not sure if the code precisely reflect the setting of the experiments described in the paper.","- ProxSkip-VR assumes that the stochastic gradient $g_t$ is unbiased. Can the theory be generalized to biased estimators to cover this type of gradient estimators?
- Does the proof of ProxSkip-VR in Appendix C hold for any choice of $y_t$ or it has to be a certain choice so that $g_t$ satisfies Assumption  4?","With the definition of $r$ in (4), I think assumption 3 is not needed.
I hope to see more discussion on how to select $y_t$ in the main text.",3 good,3 good,3 good,Yes
10162,"6: Weak Accept: Technically solid, moderate-to-high impact paper, with no major concerns with respect to evaluation, resources, reproducibility, ethical considerations.",5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully.,This paper investigates applications of the variance-reduced technique in Federated Learning and proposed a new algorithm based on **ProxSkip** in [Mishchenko et al. 2022]. The method constructed by the authors can be substantially faster in terms of the *total training time* than ProxSkip in theory and practice in the regime when local computation is sufficiently expensive. The authors also corroborate their theoretical results through experiments.,"**Strengths**
1. The proposed method **ProxSkip-VR** enjoys a lower communication complexity than gradient descent.

2. This paper proposed a new FL architecture, where ProxSkip-VR can be substantially faster in terms of the *total training time* than ProxSkip.

3. The authors corroborate their theoretical results with carefully engineered proof-of-concept experiments.

**Weaknesses**

1. The algorithm can be impractical since we can not control the communication timestamp.

2.  Attributing to combine L-SVRG [Hofmann et al., 2015, Kovalev et al., 2020a] and DIANA [Mishchenko et al., 2019] techniques, the improvement over ProxSkip is natural. Hence the novelty is limitted.","1. Table 1 says the communication complexity of **FedLin** is worse than GD. But the communication complexity of FedLin is also reduced by a factor of $H$ compared with GD, where $H$ is the number of local updates (see the discussion below Eq. (9) of [Mitra et al., 2021]). Therefore, the communication complexity of FedLin can also attain $O(\sqrt{L/\mu}\log(1/\epsilon))$ by setting $H = \sqrt{L/\mu}$.

2. In [Mitra et al., 2021], the authors show that FedLin converges much faster than SCAFFOLD in experiments of the linear model. However, the performance of FedLin in Section 5 is worse than SCAFFOLD and Local SGD, which is unreasonable since FedLin has a *linear convergence rate*. And I don't think the difference between logistic regression and linear regression is the reason. So I doubt the results in Section 5, could you explain the reason?","This paper identifies 5 distinct generations of LT methods and classifies ProxSkip and ProxSkip-VR in Generation 5: Accelerated Age, but I don't think the full-gradient and variance-reduced methods are practical and popular in FL. Considering large-scale machine learning models, stochastic gradient descent (and its variants) with the *constant batch size* is a prevalent training scheme. So the summarization in this paper may be less appropriate.

Considering existing works [Mitra et al., 2021] and [Mishchenko et al. 2022], the contribution and novelty are limited. More importantly, the experiment results are not convincing.",3 good,3 good,2 fair,Yes
10438,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.","This paper sets out to extend the PAC-Bayes framework to establish new generalization bounds for multi-class classification with M classes of errors extending the 0-1 risk. The main results appear to be Theorem 3 and Corollary 7, which generalize previously known results in this space, and can recover those existing results. My biggest concern about this paper is that I don't find the problem setup inspiring. In particular, the only worked out examples are in Section 4. The novel and interesting piece seems to be the definition of kl^-1, but I find the study to be thin. To sum everything up, I think the derived results appear to be correct; there is some novelty in proofs; but the setup of the problem is not well motivated and it is not clear how these results may be used to derive intuition or practical algorithms. ","Strengths 
* The paper is clearly written and the theoretical derivations are clearly discussed

* Theorem 3 extends the existing results in the literature, and the proof requires some nice extension of existing results including Lemma 5.

* Corollary 7 is also a nice extension of the existing results. While I did not follow its proof closely, the form of the result appears to be meaningful.

* The new results motivate some new study, including a new definition of kl^-1 that seems to be interesting.

Weaknesses:

* The setup of the problem is not well motivated, and the study has not resulted in deriving new intuitions.

* The new definition of kl^-1 is not well motivated and the details around it are thin.

","* As one example I can think of: can you say anything about balancing false positive rate and false negative rate in a binary classification? 

* In particular, can you probably make any connections with the fairness literature where the goal might be to equalize false positive rate and false negative rate?","As it currently stands, the impact of the paper is not well quantifiable.",3 good,3 good,3 good,Yes
10438,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.",3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked.,"The paper studies the PAC-Bayes generalization bound, which is an important topic and has been successfully applied to produce non-vacuous generalization bounds for neural network. The authors extend the existing results to the multiclass setting by introducing the discretized error types, which is a disjoint partition of the assembly of model prediction and ground truth labels. Based on the results, the authors further provide an abstract implementation of the method which can be applied to the real tasks.","Strength:

1.The derived theorems hold for multiclass problem and soft labels, which has a wide range of applications to the real learning tasks. Such results in the PAC-Bayes literature have not been well-studied yet.

2.Although there are no empirical studies to validate the results, the authors provide abstract implementation of the algorithm for better understanding the applications of the theorems.

3.The paper is well presented and easy to understand. Detailed proofs are provided in the paper and supplementary material. 

Weakness:

1.The technical contribution is somewhat weak in my view. The authors leverage the discretized error types to incorporate the entire confusion matrix, but many steps of the proofs mainly follow existing results.

2.For the minor problems, there are some flaws in the paper, e.g., incorrect citations in L13 in the paper.
","Although the discretized error types can be arbitrary in the theorem, are there any suggestions to set this parameter in the real tasks?

Can you make more detailed discussion about your results that whether they are vacuous or not?
",N/A,3 good,3 good,2 fair,Yes
10438,"7: Accept: Technically solid paper, with high impact on at least one sub-area, or moderate-to-high impact on more than one areas, with good-to-excellent evaluation, resources, reproducibility, and no unaddressed ethical considerations.","2: You are willing to defend your assessment, but it is quite likely that you did not understand the central parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked.","The paper deals with multi-class classification with a vector of $M$ possible error types. The paper establishes a PAC-Bayes bound for the convergence of the empirical error vector to the expected one,  under some convex distance measure (Thm. 3), and gives a more explicit bound for the kl-measure between the Multininomial distributions parametrized by those two corresponding vectors (Cor. 7). Finally, the paper discusses how the result of Cor.7 can yield a bound for the individual error types, and how to derive a gradient-based algorithm that minimizes the bound.
","### Strengths

1. The problem of multi-class generalization bounds for the confusion matrix is interesting.
2. The main results (Thm. 3, Cor. 7) seem elegant and non-trivial to derive. 

### Weaknesses

1. The writing can be improved - for example - paragraph 38-48 is hard to follow, The structure of the paper can be improved, currently, the main contributions are hard to discern from smaller details.

2. Classical PAC-Bayes bounds (e.g. Maurer ‘04) can account for non-zero-one losses.  An alternative route to deriving bounds on the divergence of the empirical confusion matrix from the expected one, under some matrix norm, can be using those classical bounds for each error type and then using the union bound. How does this simple approach compares to the results in the paper?  I think the paper lacks comparisons to possible simpler approaches.

3. In the introduction, the authors describe a problem where each error type is associated with a different loss value $\ell_j \in [0, \infty)$. However, if am not mistaken, the bound presented in Thm 3. and Cor. 7 seem to only deal with $\ell_j \in {0,1}$.

4. There are also no explicit results for the convergence of the confusion matrix under some matrix norms.
I may have not understood correctly the results, in that case, I suggest the authors improve the clarity of these issues, by emphasizing the corresponding formulations and results. 

5. There is no experimental validation for the suggested algorithm and for the bounds.


","1. 
Line 170 -  I didn’t understand the comment about $m’$. How is the formulation with $\beta$ more general?
",No further limitations ,4 excellent,2 fair,3 good,Yes
3025,"6: Weak Accept: Technically solid, moderate-to-high impact paper, with no major concerns with respect to evaluation, resources, reproducibility, ethical considerations.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.","The authors present Direct ONE-shot learning with Hebbian imprinting (DONE) a method for one-shot learning inspired by Hebbian learning in the brain. The method uses neural activations from the final layer of an “encoder” network (such as a vision transformer or EfficientNet) on a single example from an unseen class to create a weight vector for the class of the new class. The presented method is closely related to and improves upon a that of a 2018 paper by Qi et al, which the authors cite. 

The authors present experiments in which DONE is compared to Qi’s method. Specifically, the authors one-shot-learn 1 or 8 classes, evaluate the performance on those classes, and measure the degree to which the new classes interfere with initially trained classes. The authors also present results on k-shot learning. 
","Strengths:
1. The paper presents a novel and simple method for few-shot learning. 
2. While the paper does not claim to model the brain, it is exciting to see that one-shot learning with brain-line Hebbian imprinting can work so well. 
3. This paper is a pleasure to read. It is well-structured, and the writing is mostly clear. 

Weaknesses
1. The authors compare their method with only one method, when it would have been helpful for readers to compare to a broader range of existing one-shot learning approaches for image classification. The authors state “It is meaningless to compare the above three approaches with weight imprinting, because weight imprinting does not contain any optimization algorithm. “ . I disagree with this, for two reasons. First, papers such as the one about one-shot learning with siamese networks (https://www.cs.cmu.edu/~rsalakhu/papers/oneshot1.pdf), which the authors cited) are quite similar to DONE in that a big model gets trained on large amounts of data in a time-consuming process, and later one-shot classification becomes cheap. In other words, both were optimized at some point. Second, even if two models fall into different categories (e.g. because one is much more computationally expensive than the other), it’s useful for readers to know how much accuracy they lose (if any) by using a more flexible methodology. 
2. While the algorithm from the paper is novel and undoubtedly very elegant, it is very similar to Qi’s method and other papers that the authors cite. In this sense, the paper is not a must-read for most researchers in the community. 
","1. The authors write on line 31 that “The human brain does not necessarily have more complex processes than DNNs…”. I recommend to remove this statement. Many researchers would disagree with the statement, and the statement is not essential to the paper. 

2. The authors write on line 33 that “a series of simple processes such as linear filtering followed by a nonlinearity can describe the function of lower visual cortex”. I recommend to rephrase this slightly, as learning in the lower visual cortex is part of the lower visual cortex’s function, but that aspect is not described by a series of simple processes such as linear filtering followed by a nonlinearity. 

3. “modify” on line 48 should be “modifies”

4. On line 61, the authors write “neural activity and synaptic strength are different in dimension.” Do the authors mean  “neural activity and synaptic strength are different in scale.”? Line 157 also mentions “different dimension” when the authors may have meant “different scale”. 

5. On line 135, the authors write “the backbone DNN model is a very good model as a heritage of mankind”. I did not understand this sentence. Could the authors rephrase it?

6. Figure 2 is impossible to understand without referring to explanations of data point markers in section 4.1, which means that a reader needs to jump back and forth between the Figure 2 and the text on the page after. I recommend explaining the figure markers in Figure 2’s caption instead of in section 4.1. 

7. On line 185, the authors write “(not 1008 classes here)”. At this point, the reader has not yet read about the 1008-class experiments. How about removing the comment in parentheses?

8. The EfficientNet architecture is misspelled in a number of places in the paper, e.g. as “EfficinetNet” and “EfficientNnet”

9. Koray Kavukcuoglu’s name should be upper-cased on line 377. ",The authors have adequately addressed the limitations and potential negative societal impact of their work.,3 good,3 good,3 good,Yes
3025,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work.",The paper proposes a one-shot learning mechanism that adds a new class to the network's output using quantile normalization of the new input (to the last layer) w.r.t. weights in the last layer that correspond to the old classes.,"## Strengths:
1. The proposed one-shot classification method is simple and, unlike previous work, doesn't require layer normalization in the second last layer.
2. The method works reasonably well.
3. The method is novel, as far as I know.

## Weaknesses:
1. This work has ""Hebbian"" in the title and some part of the text, but as far as I can tell has nothing to do with Hebbian learning. (Elaborated in the Questions section)
2. Performance of the method is not adequately compared to previous work. (Again, elaborated below) 

## Summary

My current score is 4 (borderline reject). The paper proposed an interesting method, but it doesn't properly explain why it works, and it doesn't justify the lack of comparison (in terms of performance and computational complexity) with previous methods. I'm willing to increase the rating if my points are addressed, however.","## Large concerns
### Hebbian learning
This work does not describe a Hebbian mechanism of learning. Hebbian means $\Delta W_{ij} = f(x_i, y_j)$ for input neuron $x_i$ and output neuron $y_j$ (in the classical Hebbian sense, $f(x, y)=xy$). Eq. 3 is fundamentally not Hebbian because it uses information about other weights. Lines 154-155 say quantile normalization ""is suitable for implementing Hebbian theory"", but this claim is not backed up. The authors should either thoroughly explain what makes their method Hebbian, or remove mentions of Hebbian learning.

### Comparison with previous methods
In lines 104-109 the authors try to explain why they’re not comparing their method to previous work directly:
> It is meaningless to compare the above three approaches with weight imprinting, because weight imprinting does not contain any optimization algorithm. Therefore, in principle, there is no reason for weight imprinting methods to outperform other methods by themselves in accuracy. The performance of weight imprinting methods is uniquely determined by the backbone DNN without any randomness, hence its performance is suitable as a reference baseline for other methods. Thus, weight imprinting does not aim for the highest accuracy but for practical convenience and reference role as a baseline method.

– I can agree with not chasing the best accuracy, but then there must be a discussion of concrete practical benefits of the method. (No optimization != faster, as quantization takes some time too.)

### Overall reason behind the method
Section 3.1: I did not understand why quantile normalization helps. Shouldn’t it make the response in each neuron $y$ similar to that of the new class? Either way, the authors should spend more time explaining their method and why it works, as it is the core contribution.

## Unclear parts in the text

Lines 135-136: ""the backbone DNN model is a very good model as a heritage of mankind and should not be changed as much as possible (especially for many non-expert users)""
– this is not an explanation.

153: what probability distributions? Everything has been deterministic so far, so it's worth explaining what distributions are discussed here. Is it over individual weights? Individual neurons?

166: ""The range of applicable models is yet unclear, but in principle it is wider than Qi’s method.""
– what does it mean? The line before said that you need a network with a dense final layer, which clearly defines the range of models.

223-224: what’s good accuracy for practical uses? It’s never explained how the authors came up with that value

## Small corrections
**Note**: the paper contains a lot of grammatical errors. One simple way to fix it is to copy-paste the source code into a google doc and go through all suggested corrections.

Line 15 (abstract): performs ""at a"", not ""a"", practical-level accuracy?

Also next sentence: Can write as ""DONE overcomes ...mentioned issues of DNNs...""; Currently the sentence doesn’t read well.

92: uses ""a"" classification

93: aim""s""

145: applies to, not apply into

212-214: black and orange said twice

Why is the supplementary material just a corrected version of the main paper?
","The authors can mostly addressed the limitations of their work (although see below), but they did not account for the potential negative impacts. I'm not flagging it for an ethics review as it's just a small correction though.

Checklist 1C: the described model can be easily adapted for face recognition. This does imply potential negative societal impacts and should be discussed by the authors, even though previous work can be used in a similar way.

Related, the authors refer to practical uses throughout the whole paper, in particular when talking about performance of DONE. But it’s never discussed what those are, and why the achieved performance of the method is good enough for them.",1 poor,2 fair,2 fair,Yes
3025,"5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Please use sparingly.",3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked.,"The paper presents a method for the one-shot classification of novel inputs. For the classification of novel inputs, the method uses representations obtained by the final dense layer of a pretrained backbone model to create novel weight vectors of new classes. Importantly, DONE does not optimize or change the backbone model in any way, making it applicable to various backbone models and computationally efficient.","Strengths:
1) Introducing quantile normalization in machine learning, a method that was unknown to me.

Weaknesses:
1) The link to Hebbian learning is weak and not meaningful for this paper goals.
2) The idea that the last dense layer of a DNN includes representations that allow novel classifications is not novel, without any model modification, is not novel (e.g., [1] analyzed it theoretically).
3) There are many writing problems. Too many to mention them all. Examples: a. talking about the heritage of mankind in line 135 (unprofessional); b. figure 2 has an irrelevant screen cursor at the right-most data point. More importantly, essential legend details of this figure appear in the text instead of the caption, which is confusing; c. “the simplest” in line 324 is also not professional (I think that Qi’s method is simpler). 
4) The method does not improve upon previous works Figure 2 shows that Qi’s method works similarly or better. I am not convinced that the backbone modifications it does are detrimental.
5) Accepting the updated paper that was submitted via the supplementary materials, at a later deadline, is unfair to other authors.

[1] Sorscher, B., Ganguli, S., & Sompolinsky, H. (2021). The geometry of concept learning. bioRxiv.‏","My main suggestion is that you would make a further effort to convince this method's benefits over Qi's. In the current paper, the benefits are argued in text. Try to argue using a test where Qi's modification to the backbone model impairs performance, while DONE does not.

Also, I suggest adding more details about the practical implementation of quantile normalization.

Finally, the paper needs to be thoroughly edited.",The paper adequately discusses the method limitations.,3 good,2 fair,3 good,Yes
