number,rating_polarity,rating_subjectivity,confidence_polarity,confidence_subjectivity,summary_polarity,summary_subjectivity,strength_weakness_polarity,strength_weakness_subjectivity,question_polarity,question_subjectivity,limitation_polarity,limitation_subjectivity
10162,-0.0515625,0.45625000000000004,0.1504464285714286,0.6553571428571429,-0.07272727272727272,0.4009090909090909,0.02727272727272727,0.5409090909090909,-0.12000000000000002,0.27999999999999997,0.20132275132275135,0.5269841269841269
10438,-0.03571428571428571,0.12142857142857143,0.04523809523809523,0.660952380952381,0.09478114478114477,0.5579124579124579,0.20629370629370625,0.5376456876456875,-0.17542087542087545,0.5138047138047139,0.0,0.4
10438,-0.03571428571428571,0.12142857142857143,0.1375,0.8083333333333333,0.33749999999999997,0.6875,0.12321428571428572,0.43690476190476196,0.25,0.5375,0.0,0.0
10438,0.11200000000000002,0.42800000000000005,0.06,0.6799999999999999,0.09999999999999999,0.5714285714285714,0.04117647058823528,0.4710084033613445,0.275,0.5,0.0,0.5
3025,-0.0515625,0.45625000000000004,0.04523809523809523,0.660952380952381,0.02739079102715466,0.31121605667060215,0.09766483516483516,0.45182234432234425,0.021098484848484853,0.43402056277056267,0.011111111111111108,0.5777777777777778
3025,-0.03571428571428571,0.12142857142857143,0.04523809523809523,0.660952380952381,0.07454545454545454,0.24848484848484848,0.034523809523809526,0.4005102040816327,0.10663989519252677,0.4820024493050808,0.07023809523809524,0.5238095238095238
3025,-0.03571428571428571,0.12142857142857143,0.1375,0.8083333333333333,0.1340909090909091,0.7386363636363636,-0.021568627450980392,0.42549019607843136,0.13333333333333333,0.5466666666666666,0.3333333333333333,0.3333333333333333
11146,-0.05833333333333333,0.44166666666666665,0.1375,0.8083333333333333,0.0,0.15625,0.093999518999519,0.4120310245310245,0.1431818181818182,0.40378787878787886,-0.014285714285714282,0.6
11146,-0.03571428571428571,0.12142857142857143,0.04523809523809523,0.660952380952381,0.10625000000000001,0.46875,0.08098031001256809,0.4165060745705907,0.0,0.1,0.0,0.0
11146,-0.05833333333333333,0.44166666666666665,0.04523809523809523,0.660952380952381,-0.025,0.29166666666666663,0.019382440476190484,0.3637276785714285,0.0,0.4,0.0,0.0
11146,-0.05833333333333333,0.44166666666666665,0.04523809523809523,0.660952380952381,0.04545454545454545,0.2626262626262626,0.10202561327561326,0.4332467532467532,0.25,0.3,0.16666666666666666,0.3333333333333333
8594,0.3952380952380952,0.6380952380952382,0.1375,0.8083333333333333,0.0,1.0,0.5308333333333334,0.6466666666666667,0.5,0.5,0.0,0.0
8594,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,0.0675,0.38378968253968254,-0.008928571428571437,0.3470238095238095,-0.04666666666666666,0.2733333333333334,0.10000000000000002,0.3833333333333333
8594,0.3952380952380952,0.6380952380952382,0.04523809523809523,0.660952380952381,0.11458333333333333,0.4879629629629629,0.10978260869565219,0.453623188405797,0.16296296296296295,0.4564814814814815,0.04333333333333333,0.3433333333333333
6640,-0.0515625,0.45625000000000004,0.1375,0.8083333333333333,0.10952380952380951,0.2511904761904762,0.014833782569631627,0.3662084456424079,0.123015873015873,0.32010582010582006,0.011111111111111108,0.5777777777777778
6640,-0.0515625,0.45625000000000004,-0.225,1.0,0.05,0.3866666666666666,0.11128571428571428,0.452079365079365,0.0,0.1,0.0,0.0
6640,0.20952380952380953,0.280952380952381,0.04523809523809523,0.660952380952381,0.22777777777777777,0.33888888888888885,0.325,0.5375,0.08753968253968257,0.42825396825396844,0.1,0.45
6640,-0.03571428571428571,0.12142857142857143,0.04523809523809523,0.660952380952381,-0.03273809523809524,0.37202380952380953,0.09487179487179488,0.5076923076923077,0.07911564625850341,0.4572789115646258,-0.15,0.7
